
dense_24,Dense,1,linear
MAE,0.2903483080816932,MSE,0.20392852106138312,R^2,0.03974650833989046

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense,Dense,512,tanh
batch_normalization,BatchNormalization,,
dropout,Dropout,,
dense_1,Dense,256,tanh
batch_normalization_1,BatchNormalization,,
dropout_1,Dropout,,
dense_2,Dense,128,sigmoid
dropout_2,Dropout,,
batch_normalization_2,BatchNormalization,,
dense_3,Dense,64,relu
dropout_3,Dropout,,
batch_normalization_3,BatchNormalization,,
dense_4,Dense,1,linear
MAE,0.282512920895262,MSE,0.20095007150224262,R^2,0.05377135672310074

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_5,Dense,512,tanh
batch_normalization_4,BatchNormalization,,
dropout_4,Dropout,,
dropout_5,Dropout,,
dense_6,Dense,128,sigmoid
dropout_6,Dropout,,
batch_normalization_5,BatchNormalization,,
dense_7,Dense,64,relu
dropout_7,Dropout,,
batch_normalization_6,BatchNormalization,,
dense_8,Dense,1,linear
MAE,0.32028342225706535,MSE,0.22449421212256676,R^2,-0.05709270055115212

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_9,Dense,512,tanh
batch_normalization_7,BatchNormalization,,
dropout_8,Dropout,,
dense_10,Dense,256,tanh
batch_normalization_8,BatchNormalization,,
dropout_9,Dropout,,
dense_11,Dense,128,sigmoid
dropout_10,Dropout,,
batch_normalization_9,BatchNormalization,,
dense_12,Dense,64,relu
dropout_11,Dropout,,
batch_normalization_10,BatchNormalization,,
dense_13,Dense,1,linear
MAE,0.2931219991659406,MSE,0.20148638541052444,R^2,0.053061217546052086

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_14,Dense,512,tanh
batch_normalization_11,BatchNormalization,,
dropout_12,Dropout,,
dense_15,Dense,256,tanh
batch_normalization_12,BatchNormalization,,
dropout_13,Dropout,,
dense_16,Dense,128,sigmoid
dropout_14,Dropout,,
batch_normalization_13,BatchNormalization,,
dense_17,Dense,64,relu
dropout_15,Dropout,,
batch_normalization_14,BatchNormalization,,
dense_18,Dense,1,linear
MAE,0.28509537873094426,MSE,0.19563855485763115,R^2,0.0805446503967191

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_19,Dense,512,tanh
batch_normalization_15,BatchNormalization,,
dropout_16,Dropout,,
dense_20,Dense,256,tanh
batch_normalization_16,BatchNormalization,,
dropout_17,Dropout,,
dense_21,Dense,128,sigmoid
dropout_18,Dropout,,
batch_normalization_17,BatchNormalization,,
dense_22,Dense,64,relu
dropout_19,Dropout,,
batch_normalization_18,BatchNormalization,,
dense_23,Dense,1,linear
MAE,0.28485980518551574,MSE,0.19975184459480305,R^2,0.06121315279869621

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_24,Dense,512,tanh
batch_normalization_19,BatchNormalization,,
dropout_20,Dropout,,
dense_25,Dense,256,tanh
batch_normalization_20,BatchNormalization,,
dropout_21,Dropout,,
dense_26,Dense,128,sigmoid
dropout_22,Dropout,,
batch_normalization_21,BatchNormalization,,
dense_27,Dense,64,relu
dropout_23,Dropout,,
batch_normalization_22,BatchNormalization,,
dense_28,Dense,1,linear
MAE,0.47636734684835186,MSE,0.5343253652088255,R^2,-0.16393706305781652

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_34,Dense,512,tanh
batch_normalization_27,BatchNormalization,,
dropout_28,Dropout,,
dense_35,Dense,256,tanh
batch_normalization_28,BatchNormalization,,
dropout_29,Dropout,,
dense_36,Dense,128,sigmoid
dropout_30,Dropout,,
batch_normalization_29,BatchNormalization,,
dense_37,Dense,64,relu
dropout_31,Dropout,,
batch_normalization_30,BatchNormalization,,
dense_38,Dense,1,linear
MAE,0.48056401772373625,MSE,0.49982020573390995,R^2,-0.0887734331899388

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_39,Dense,512,tanh
dropout_32,Dropout,,
dense_40,Dense,256,tanh
dropout_33,Dropout,,
dense_41,Dense,128,sigmoid
dropout_34,Dropout,,
dense_42,Dense,64,relu
dropout_35,Dropout,,
dense_43,Dense,1,linear
MAE,0.3322748022866906,MSE,0.3620237942259298,R^2,0.21139264716790163

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_49,Dense,512,tanh
dropout_40,Dropout,,
dense_50,Dense,256,tanh
dropout_41,Dropout,,
dense_51,Dense,128,sigmoid
dropout_42,Dropout,,
dense_52,Dense,64,relu
dropout_43,Dropout,,
dense_53,Dense,1,linear
MAE,0.3283965927697001,MSE,0.35416043648939677,R^2,0.22852163655446434

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_59,Dense,512,tanh
dropout_48,Dropout,,
dense_60,Dense,256,tanh
dropout_49,Dropout,,
dense_61,Dense,128,sigmoid
dropout_50,Dropout,,
dense_62,Dense,64,relu
dropout_51,Dropout,,
dense_63,Dense,1,linear
MAE,0.06570482993942169,MSE,0.020159868349803753,R^2,0.9562778972820365

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_69,Dense,512,tanh
dropout_56,Dropout,,
dense_70,Dense,256,tanh
dropout_57,Dropout,,
dense_71,Dense,128,sigmoid
dropout_58,Dropout,,
dense_72,Dense,64,relu
dropout_59,Dropout,,
dense_73,Dense,1,linear
MAE,1.209198155078649,MSE,1.5082291501391552,R^2,-2.2854210594046482

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_74,Dense,512,tanh
dropout_60,Dropout,,
dense_75,Dense,256,tanh
dropout_61,Dropout,,
dense_76,Dense,128,sigmoid
dropout_62,Dropout,,
dense_77,Dense,64,relu
dropout_63,Dropout,,
dense_78,Dense,1,linear
MAE,0.30822721116439206,MSE,0.34104234756890545,R^2,0.2570971654086498

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_79,Dense,512,tanh
dropout_64,Dropout,,
dense_80,Dense,256,tanh
dropout_65,Dropout,,
dense_81,Dense,128,sigmoid
dropout_66,Dropout,,
dense_82,Dense,64,relu
dropout_67,Dropout,,
dense_83,Dense,1,linear
MAE,0.5389646448932202,MSE,0.595610230597532,R^2,-0.29370973349567064

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_84,Dense,512,tanh
dropout_68,Dropout,,
dense_85,Dense,256,tanh
dropout_69,Dropout,,
dense_86,Dense,128,sigmoid
dropout_70,Dropout,,
dense_87,Dense,64,relu
dropout_71,Dropout,,
dense_88,Dense,1,linear
MAE,0.15852283869350658,MSE,0.16894234338135738,R^2,0.6334954448178055

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_89,Dense,512,tanh
dropout_72,Dropout,,
dense_90,Dense,256,tanh
dropout_73,Dropout,,
dense_91,Dense,128,sigmoid
dropout_74,Dropout,,
dense_92,Dense,64,relu
dropout_75,Dropout,,
dense_93,Dense,1,linear
MAE,0.37750653518641497,MSE,0.4199567519401576,R^2,0.08519553760377341

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_94,Dense,512,tanh
dropout_76,Dropout,,
dense_95,Dense,256,tanh
dropout_77,Dropout,,
dense_96,Dense,128,sigmoid
dropout_78,Dropout,,
dense_97,Dense,64,relu
dropout_79,Dropout,,
dense_98,Dense,1,linear
MAE,0.024780473259533142,MSE,0.000618452389372398,R^2,-2.447560599147318

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_99,Dense,512,tanh
dropout_80,Dropout,,
dense_100,Dense,256,tanh
dropout_81,Dropout,,
dense_101,Dense,128,sigmoid
dropout_82,Dropout,,
dense_102,Dense,64,relu
dropout_83,Dropout,,
dense_103,Dense,1,linear
MAE,0.29175088541487737,MSE,0.3290930808210694,R^2,0.2863147706117627

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_104,Dense,256,tanh
dropout_84,Dropout,,
dense_105,Dense,128,tanh
dropout_85,Dropout,,
dense_106,Dense,64,sigmoid
dropout_86,Dropout,,
dense_107,Dense,1,linear
MAE,0.3039114775290027,MSE,0.3509829667120355,R^2,0.23884343455571677

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_108,Dense,256,tanh
dropout_87,Dropout,,
dense_109,Dense,128,tanh
dropout_88,Dropout,,
dense_110,Dense,64,sigmoid
dropout_89,Dropout,,
dense_111,Dense,1,linear
MAE,0.6948501217459774,MSE,0.7932075896580691,R^2,-0.7201836610032022

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_113,Dense,256,tanh
dropout_91,Dropout,,
batch_normalization_31,BatchNormalization,,
dense_114,Dense,128,tanh
dropout_92,Dropout,,
dense_115,Dense,64,sigmoid
dropout_93,Dropout,,
dense_116,Dense,1,linear
MAE,0.3653539682626241,MSE,0.3857676275639884,R^2,0.16340794196687136

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_117,Dense,256,tanh
dropout_94,Dropout,,
dense_118,Dense,128,tanh
dropout_95,Dropout,,
dense_119,Dense,64,sigmoid
dropout_96,Dropout,,
dense_120,Dense,1,linear
MAE,0.6773043457819823,MSE,0.4611902936526769,R^2,-0.00015685439493595688

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_121,Dense,256,tanh
dropout_97,Dropout,,
dense_122,Dense,128,tanh
dropout_98,Dropout,,
dense_123,Dense,64,sigmoid
dropout_99,Dropout,,
dense_124,Dense,1,linear
MAE,0.677017656315569,MSE,0.46136112744085933,R^2,-0.0005273318021246087

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_125,Dense,256,tanh
dropout_100,Dropout,,
dense_126,Dense,128,tanh
dropout_101,Dropout,,
dense_127,Dense,64,sigmoid
dropout_102,Dropout,,
dense_128,Dense,1,linear
MAE,0.6790678014886856,MSE,0.4623500177393631,R^2,-0.0026718812948289816

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_129,Dense,512,tanh
dropout_103,Dropout,,
dense_130,Dense,256,tanh
dropout_104,Dropout,,
dense_131,Dense,128,sigmoid
dense_132,Dense,64,relu
dropout_105,Dropout,,
dense_133,Dense,1,linear
MAE,0.6788986421646128,MSE,0.46207388751220047,R^2,-0.0020730535588528998

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense_134,Dense,512,tanh
dropout_106,Dropout,,
dense_135,Dense,256,tanh
dropout_107,Dropout,,
dense_136,Dense,128,sigmoid
dense_137,Dense,64,relu
dropout_108,Dropout,,
dense_138,Dense,1,linear
MAE,0.6786826623785709,MSE,0.4617721687194004,R^2,-0.001418733372864578

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
dense,Dense,512,tanh
dropout,Dropout,,
dense_1,Dense,256,tanh
dropout_1,Dropout,,
dense_2,Dense,128,sigmoid
dense_3,Dense,64,relu
dropout_2,Dropout,,
dense_4,Dense,1,linear
MAE,0.4177843845463827,MSE,0.17577926546063102,R^2,-0.002610097696365443

Layer_Name,Layer_Type,Number_of_Nodes,Activation_Function
